Bowling,O,M,R,W,ECON,0s,4s,6s,WD,NB,Match,innings,match_id
Gerhard Erasmus,4,0,20,2,5.00,9,1,0,0,0,Oman vs Namibia,Oman,50
Bilal Khan,4,0,25,1,6.25,11,2,1,1,0,Oman vs Namibia,Oman,50
Shakeel Ahmed,3,0,20,0,6.66,10,4,0,0,0,Oman vs Namibia,Oman,50
Kaleemullah,2,0,10,0,5.00,7,1,0,0,0,Oman vs Namibia,Oman,50
Aqib Ilyas,4,1,17,1,4.25,15,1,1,0,0,Oman vs Namibia,Oman,50
Mehran Khan,3,1,7,3,2.33,12,0,0,0,0,Oman vs Namibia,Oman,50
Zeeshan Maqsood,2,0,12,0,6.00,4,1,0,0,0,Oman vs Namibia,Oman,50
Ayaan Khan,2,0,12,1,6.00,6,1,0,1,0,Oman vs Namibia,Oman,50
Akeal Hosein,3,0,9,1,3.00,13,1,0,0,0,West Indies vs P.N.G.,Papua New Guinea,51
Romario Shepherd,3,0,23,1,7.66,5,1,0,1,0,West Indies vs P.N.G.,Papua New Guinea,51
Andre Russell,3,0,19,2,6.33,8,2,0,1,0,West Indies vs P.N.G.,Papua New Guinea,51
Roston Chase,4,0,26,0,6.50,11,1,1,3,0,West Indies vs P.N.G.,Papua New Guinea,51
Alzarri Joseph,4,0,34,2,8.50,11,5,0,1,1,West Indies vs P.N.G.,Papua New Guinea,51
Gudakesh Motie,3,0,24,1,8.00,7,2,1,0,0,West Indies vs P.N.G.,Papua New Guinea,51
Kabua Morea,3,0,30,0,10.00,7,6,0,0,0,West Indies vs P.N.G.,Papua New Guinea,51
Alei Nao,2,1,9,1,4.50,9,2,0,0,0,West Indies vs P.N.G.,Papua New Guinea,51
Chad Soper,3,0,19,1,6.33,8,2,0,0,0,West Indies vs P.N.G.,Papua New Guinea,51
Sese Bau,1,0,18,0,18.00,1,1,2,0,0,West Indies vs P.N.G.,Papua New Guinea,51
John Kariko,4,0,17,1,4.25,15,0,1,0,0,West Indies vs P.N.G.,Papua New Guinea,51
Assad Vala,4,1,28,2,7.00,11,3,1,0,0,West Indies vs P.N.G.,Papua New Guinea,51
Charles Amini,2,0,14,0,7.00,3,0,1,0,0,West Indies vs P.N.G.,Papua New Guinea,51
Ali Khan,4,0,41,1,10.25,11,5,2,2,0,U.S.A. vs Canada,Canada,52
Saurabh Netravalkar,2,0,16,0,8.00,3,2,0,0,0,U.S.A. vs Canada,Canada,52
Harmeet Singh,4,0,27,1,6.75,11,3,1,0,0,U.S.A. vs Canada,Canada,52
Jasdeep Singh,3,0,24,0,8.00,7,4,0,0,0,U.S.A. vs Canada,Canada,52
Shadley van Schalkwyk,3,0,34,0,11.33,1,1,2,0,0,U.S.A. vs Canada,Canada,52
Steven Taylor,1,0,15,0,15.00,1,0,2,0,0,U.S.A. vs Canada,Canada,52
Corey Anderson,3,0,29,1,9.66,4,2,1,0,0,U.S.A. vs Canada,Canada,52
Kaleem Sana,4,0,34,1,8.50,9,4,0,3,0,U.S.A. vs Canada,Canada,52
Jeremy Gordon,3,0,44,0,14.66,7,4,3,3,2,U.S.A. vs Canada,Canada,52
Dilon Heyliger,3,0,19,1,6.33,9,0,1,2,0,U.S.A. vs Canada,Canada,52
Saad Bin Zafar,4,0,42,0,10.50,9,2,4,0,0,U.S.A. vs Canada,Canada,52
Nikhil Dutta,2.4,0,41,1,15.37,5,2,4,2,1,U.S.A. vs Canada,Canada,52
Pargat Singh,1,0,15,0,15.00,0,1,1,0,0,U.S.A. vs Canada,Canada,52
