Batting,Dissmissal,R,B,M,4s,6s,Match,innings,match_id
Anil Sah,c van Beek b Pringle,11,12,29,2,0,Nepal vs Netherlands,Nepal,46
Rohit Paudel (c),c O'Dowd b Pringle,35,37,59,5,0,Nepal vs Netherlands,Nepal,46
Kushal Malla,c O'Dowd b van Meekeren,9,9,8,1,0,Nepal vs Netherlands,Nepal,46
Dipendra Singh Airee,c van Beek b de Leede,1,6,4,0,0,Nepal vs Netherlands,Nepal,46
Sompal Kami,b van Meekeren,0,5,10,0,0,Nepal vs Netherlands,Nepal,46
Gulsan Jha,b van Beek,14,15,28,0,1,Nepal vs Netherlands,Nepal,46
Karan KC,c Kingma b de Leede,17,12,13,0,2,Nepal vs Netherlands,Nepal,46
Sagar Dhakal,not out,0,1,3,0,0,Nepal vs Netherlands,Nepal,46
Abinash Bohara,c & b van Beek,0,1,1,0,0,Nepal vs Netherlands,Nepal,46
Michael Levitt,c Airee b Sompal Kami,1,3,6,0,0,Nepal vs Netherlands,Nepal,46
Max O'Dowd,not out,54,48,86,4,1,Nepal vs Netherlands,Nepal,46
Vikramjit Singh,lbw b Airee,22,28,32,4,0,Nepal vs Netherlands,Nepal,46
Sybrand Engelbrecht,run out (Sompal Kami),14,16,18,1,0,Nepal vs Netherlands,Nepal,46
Scott Edwards (c)†,b Bohara,5,8,11,0,0,Nepal vs Netherlands,Nepal,46
Bas de Leede,not out,11,10,13,1,0,Nepal vs Netherlands,Nepal,46
George Munsey,not out,41,31,46,4,2,Scotland vs England,Scotland,47
Michael Jones,not out,45,30,46,4,2,Scotland vs England,Scotland,47
Rahmanullah Gurbaz †,c Riazat Ali Shah b Ramjani,76,45,70,4,4,Afghanistan vs Uganda,Afghanistan,48
Ibrahim Zadran,b Masaba,70,46,66,9,1,Afghanistan vs Uganda,Afghanistan,48
Najibullah Zadran,c Nakrani b Masaba,2,3,8,0,0,Afghanistan vs Uganda,Afghanistan,48
Mohammad Nabi,not out,14,16,23,0,0,Afghanistan vs Uganda,Afghanistan,48
Gulbadin Naib,c Masaba b Kyewuta,4,5,6,0,0,Afghanistan vs Uganda,Afghanistan,48
Azmatullah Omarzai,c Ramjani b Kyewuta,5,5,9,0,0,Afghanistan vs Uganda,Afghanistan,48
Rashid Khan (c),not out,2,1,1,0,0,Afghanistan vs Uganda,Afghanistan,48
Ronak Patel,b Fazalhaq Farooqi,4,2,1,1,0,Afghanistan vs Uganda,Afghanistan,48
Simon Ssesazi †,c Fazalhaq Farooqi b Mujeeb Ur Rahman,4,4,9,1,0,Afghanistan vs Uganda,Afghanistan,48
Roger Mukasa,lbw b Fazalhaq Farooqi,0,1,1,0,0,Afghanistan vs Uganda,Afghanistan,48
Riazat Ali Shah,b Fazalhaq Farooqi,11,34,56,0,0,Afghanistan vs Uganda,Afghanistan,48
Dinesh Nakrani,b Naveen-ul-Haq,6,8,11,1,0,Afghanistan vs Uganda,Afghanistan,48
Alpesh Ramjani,c Gulbadin Naib b Naveen-ul-Haq,0,2,1,0,0,Afghanistan vs Uganda,Afghanistan,48
Robinson Obuya,c †Rahmanullah Gurbaz b Fazalhaq Farooqi,14,25,42,0,1,Afghanistan vs Uganda,Afghanistan,48
Brian Masaba (c),c †Rahmanullah Gurbaz b Fazalhaq Farooqi,0,1,1,0,0,Afghanistan vs Uganda,Afghanistan,48
Bilal Hassan,lbw b Rashid Khan,8,16,18,1,0,Afghanistan vs Uganda,Afghanistan,48
Cosmas Kyewuta,not out,2,2,15,0,0,Afghanistan vs Uganda,Afghanistan,48
Henry Ssenyondo,b Rashid Khan,0,1,1,0,0,Afghanistan vs Uganda,Afghanistan,48
Pathum Nissanka,c Klaasen b Baartman,3,8,15,0,0,Sri Lanka vs South Africa,Sri Lanka,49
Kusal Mendis †,c Stubbs b Nortje,19,30,46,1,0,Sri Lanka vs South Africa,Sri Lanka,49
Kamindu Mendis,c Hendricks b Nortje,11,15,19,1,0,Sri Lanka vs South Africa,Sri Lanka,49
Wanindu Hasaranga (c),st †de Kock b Maharaj,0,2,2,0,0,Sri Lanka vs South Africa,Sri Lanka,49
Sadeera Samarawickrama,b Maharaj,0,1,1,0,0,Sri Lanka vs South Africa,Sri Lanka,49
Charith Asalanka,c Hendricks b Nortje,6,9,11,0,0,Sri Lanka vs South Africa,Sri Lanka,49
Angelo Mathews,c Baartman b Nortje,16,16,24,0,2,Sri Lanka vs South Africa,Sri Lanka,49
Dasun Shanaka,b Rabada,9,10,13,0,1,Sri Lanka vs South Africa,Sri Lanka,49
Maheesh Theekshana,not out,7,16,20,1,0,Sri Lanka vs South Africa,Sri Lanka,49
Matheesha Pathirana,c Markram b Rabada,0,4,8,0,0,Sri Lanka vs South Africa,Sri Lanka,49
Nuwan Thushara,run out (Nortje/Jansen),0,4,7,0,0,Sri Lanka vs South Africa,Sri Lanka,49
Quinton de Kock †,c & b Hasaranga,20,27,54,0,1,Sri Lanka vs South Africa,Sri Lanka,49
Reeza Hendricks,c PHKD Mendis b Thushara,4,2,8,1,0,Sri Lanka vs South Africa,Sri Lanka,49
Aiden Markram (c),c PHKD Mendis b Shanaka,12,14,14,0,1,Sri Lanka vs South Africa,Sri Lanka,49
Tristan Stubbs,c Asalanka b Hasaranga,13,28,39,0,0,Sri Lanka vs South Africa,Sri Lanka,49
Heinrich Klaasen,not out,19,22,22,1,1,Sri Lanka vs South Africa,Sri Lanka,49
David Miller,not out,6,6,13,1,0,Sri Lanka vs South Africa,Sri Lanka,49
Kashyap Prajapati,lbw b Trumpelmann,0,1,1,0,0,Oman vs Namibia,Oman,50
Naseem Khushi †,c Erasmus b Trumpelmann,6,6,16,1,0,Oman vs Namibia,Oman,50
Aqib Ilyas (c),lbw b Trumpelmann,0,1,2,0,0,Oman vs Namibia,Oman,50
Zeeshan Maqsood,lbw b Scholtz,22,20,29,4,0,Oman vs Namibia,Oman,50
Khalid Kail,c & b Wiese,34,39,56,1,1,Oman vs Namibia,Oman,50
Ayaan Khan,c Frylinck b Erasmus,15,21,16,0,1,Oman vs Namibia,Oman,50
Mohammad Nadeem,lbw b Erasmus,6,10,10,0,0,Oman vs Namibia,Oman,50
Mehran Khan,lbw b Wiese,7,8,12,1,0,Oman vs Namibia,Oman,50
Shakeel Ahmed,c Trumpelmann b Wiese,11,9,13,2,0,Oman vs Namibia,Oman,50
Kaleemullah,lbw b Trumpelmann,2,3,4,0,0,Oman vs Namibia,Oman,50
Bilal Khan,not out,1,1,5,0,0,Oman vs Namibia,Oman,50
Michael van Lingen,b Bilal Khan,0,2,1,0,0,Oman vs Namibia,Oman,50
Nikolaas Davin,c Mohammad Nadeem b Aqib Ilyas,24,31,35,2,1,Oman vs Namibia,Oman,50
Jan Frylinck,b Mehran Khan,45,48,77,6,0,Oman vs Namibia,Oman,50
Gerhard Erasmus (c),c Zeeshan Maqsood b Ayaan Khan,13,16,19,1,0,Oman vs Namibia,Oman,50
JJ Smit,c Ayaan Khan b Mehran Khan,8,12,13,1,0,Oman vs Namibia,Oman,50
David Wiese,not out,9,8,15,0,1,Oman vs Namibia,Oman,50
Zane Green †,lbw b Mehran Khan,0,2,2,0,0,Oman vs Namibia,Oman,50
Malan Kruger,not out,1,1,3,0,0,Oman vs Namibia,Oman,50
Tony Ura,c †Pooran b Shepherd,2,5,7,0,0,West Indies vs P.N.G.,Papua New Guinea,51
Assad Vala (c),c Chase b Joseph,21,22,26,2,1,West Indies vs P.N.G.,Papua New Guinea,51
Lega Siaka,b Hosein,1,2,2,0,0,West Indies vs P.N.G.,Papua New Guinea,51
Sese Bau,b Joseph,50,43,55,6,1,West Indies vs P.N.G.,Papua New Guinea,51
Hiri Hiri,c Powell b Motie,2,6,10,0,0,West Indies vs P.N.G.,Papua New Guinea,51
Charles Amini,c †Pooran b Russell,12,14,22,0,0,West Indies vs P.N.G.,Papua New Guinea,51
Kiplin Doriga †,not out,27,18,23,3,0,West Indies vs P.N.G.,Papua New Guinea,51
Chad Soper,b Russell,10,9,10,1,0,West Indies vs P.N.G.,Papua New Guinea,51
Alei Nao,run out (Joseph),0,0,2,0,0,West Indies vs P.N.G.,Papua New Guinea,51
Kabua Morea,not out,2,2,3,0,0,West Indies vs P.N.G.,Papua New Guinea,51
Brandon King,c Siaka b Vala,34,29,44,7,0,West Indies vs P.N.G.,Papua New Guinea,51
Johnson Charles,lbw b Nao,0,1,6,0,0,West Indies vs P.N.G.,Papua New Guinea,51
Nicholas Pooran †,c Ura b Kariko,27,27,30,1,2,West Indies vs P.N.G.,Papua New Guinea,51
Roston Chase,not out,42,27,39,4,2,West Indies vs P.N.G.,Papua New Guinea,51
Rovman Powell (c),c †Doriga b Soper,15,14,14,2,0,West Indies vs P.N.G.,Papua New Guinea,51
Sherfane Rutherford,c †Doriga b Vala,2,7,6,0,0,West Indies vs P.N.G.,Papua New Guinea,51
Andre Russell,not out,15,9,11,0,1,West Indies vs P.N.G.,Papua New Guinea,51
Aaron Johnson,c Kumar b Harmeet Singh,23,16,24,5,0,U.S.A. vs Canada,Canada,52
Navneet Dhaliwal,c Jasdeep Singh b Anderson,61,44,62,6,3,U.S.A. vs Canada,Canada,52
Pargat Singh,run out (Jasdeep Singh/†Patel),5,7,12,0,0,U.S.A. vs Canada,Canada,52
Nicholas Kirton,c Anderson b Ali Khan,51,31,43,3,2,U.S.A. vs Canada,Canada,52
Shreyas Movva †,not out,32,16,29,2,2,U.S.A. vs Canada,Canada,52
Dilpreet Bajwa,run out (Taylor/†Patel),11,5,5,1,1,U.S.A. vs Canada,Canada,52
Dilon Heyliger,not out,1,1,4,0,0,U.S.A. vs Canada,Canada,52
Steven Taylor,lbw b Kaleem Sana,0,2,2,0,0,U.S.A. vs Canada,Canada,52
Monank Patel (c)†,c †Movva b Heyliger,16,16,33,2,0,U.S.A. vs Canada,Canada,52
Andries Gous,c Johnson b Dutta,65,46,76,7,3,U.S.A. vs Canada,Canada,52
Aaron Jones,not out,94,40,56,4,10,U.S.A. vs Canada,Canada,52
Corey Anderson,not out,3,5,8,0,0,U.S.A. vs Canada,Canada,52
